Change Physical Footprint: Designator=A1 Old Footprint=Sub-1GHz-Antenna New Footprint=Sub-1GHz-Antenna
Change Physical Footprint: Designator=A2 Old Footprint=Inverted_F_Antenna New Footprint=Inverted_F_Antenna
Change Physical Footprint: Designator=C1 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=C2 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=C3 Old Footprint=2312 [IMP] Polar New Footprint=2312 [IMP] Polar
Change Physical Footprint: Designator=C4 Old Footprint=0603[IMP] New Footprint=0603[IMP]
Change Physical Footprint: Designator=C5 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=C6 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=C7 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=C8 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=C9 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=C10 Old Footprint=0603[IMP] New Footprint=0603[IMP]
Change Physical Footprint: Designator=C11 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=C12 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=C13 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=C14 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=C15 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=C16 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=C17 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=C18 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=C19 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=C20 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=C21 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=C22 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=C23 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=C24 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=C25 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=C26 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=C27 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=C28 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=C29 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=C30 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=C31 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=C32 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=C33 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=C34 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=C35 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=C36 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=C37 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=C38 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=C39 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=C40 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=C41 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=C42 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=E1 Old Footprint=Electrode_Socket New Footprint=Electrode_Socket
Change Physical Footprint: Designator=E2 Old Footprint=Electrode_Socket New Footprint=Electrode_Socket
Change Physical Footprint: Designator=E3 Old Footprint=Electrode_Socket New Footprint=Electrode_Socket
Change Physical Footprint: Designator=FL1 Old Footprint=0603[IMP] New Footprint=0603[IMP]
Change Physical Footprint: Designator=H1 Old Footprint=Header 4  -MolexPicoBlade - RightAngle New Footprint=Header 4  -MolexPicoBlade - RightAngle
Change Physical Footprint: Designator=H1 Old Footprint=Header 5  -MolexPicoBlade - RightAngle New Footprint=Header 5  -MolexPicoBlade - RightAngle
Change Physical Footprint: Designator=H2 Old Footprint=Header 3  -MolexPicoBlade - RightAngle New Footprint=Header 3  -MolexPicoBlade - RightAngle
Change Physical Footprint: Designator=H2 Old Footprint=S2B-PH-SM4-TB New Footprint=S2B-PH-SM4-TB
Change Physical Footprint: Designator=H3 Old Footprint=Header 4  -MolexPicoBlade - RightAngle New Footprint=Header 4  -MolexPicoBlade - RightAngle
Change Physical Footprint: Designator=H3 Old Footprint=HDR1X3 New Footprint=HDR1X3
Change Physical Footprint: Designator=H4 Old Footprint=HDR-2*5-0.05_Without_Through_Hole New Footprint=HDR-2*5-0.05_Without_Through_Hole
Change Physical Footprint: Designator=L1 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=L2 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=L3 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=L4 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=L5 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=L6 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=L7 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=L8 Old Footprint=0402[IMP] New Footprint=0402[IMP]
Change Physical Footprint: Designator=L9 Old Footprint=0402[IMP] New Footprint=0402[IMP]
